cell_name,donor_short_id,donor_long_id,study_accession,sample_accession,ENA_Accession
25475_8#132,toco_5,HPSI0514i-toco_5,PRJEB14362,SAMEA104677182,ERR2980784
25475_8#133,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677183,ERR2980785
25475_8#134,toco_5,HPSI0514i-toco_5,PRJEB14362,SAMEA104677184,ERR2980786
25475_8#135,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677185,ERR2980787
25475_8#136,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677186,ERR2980788
25475_8#137,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677187,ERR2980789
25475_8#138,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677188,ERR2980790
25475_8#139,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677189,ERR2980791
25475_8#140,pipw_5,HPSI0714i-pipw_5,PRJEB14362,SAMEA104677190,ERR2980792
25475_8#141,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677191,ERR2980793
25475_8#142,jejf_2,HPSI0914i-jejf_2,PRJEB14362,SAMEA104677192,ERR2980794
25475_8#143,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677193,ERR2980795
25475_8#148,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677198,ERR2980800
25475_8#149,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677199,ERR2980801
25475_8#150,qehq_3,HPSI0914i-qehq_3,PRJEB14362,SAMEA104677200,ERR2980802
25475_8#151,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677201,ERR2980803
25475_8#152,toco_5,HPSI0514i-toco_5,PRJEB14362,SAMEA104677202,ERR2980804
25475_8#153,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677203,ERR2980805
25475_8#154,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677204,ERR2980806
25475_8#155,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677205,ERR2980807
25475_8#156,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677206,ERR2980808
25475_8#157,jejf_2,HPSI0914i-jejf_2,PRJEB14362,SAMEA104677207,ERR2980809
25475_8#158,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677208,ERR2980810
25475_8#159,uilk_3,HPSI0614i-uilk_3,PRJEB14362,SAMEA104677209,ERR2980811
25475_8#160,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677210,ERR2980812
25475_8#161,juuy_2,HPSI1014i-juuy_2,PRJEB14362,SAMEA104677211,ERR2980813
